時間,設備,值
2024-10-12 14:22:51,SA-45/LED_LEVEL,7
2024-10-12 14:22:51,SA-45/LED_LEVEL,8
2024-10-12 14:22:51,SA-01/LED_LEVEL,7
2024-10-12 14:34:52,SA-01/LED_LEVEL,7
2024-10-12 16:09:07,SA-45/LED_LEVEL,8
2024-10-12 16:09:10,SA-45/LED_LEVEL,9
2024-10-12 16:09:12,SA-45/LED_LEVEL,10
2024-10-12 16:09:14,SA-45/LED_LEVEL,9
2024-10-12 16:09:34,SA-45/LED_LEVEL,8
2024-10-12 16:09:36,SA-45/LED_LEVEL,7
2024-10-12 16:09:38,SA-45/LED_LEVEL,6
2024-10-12 16:09:39,SA-45/LED_LEVEL,7
2024-10-12 16:09:40,SA-45/LED_LEVEL,8
